"","dimension","Max","Min","Control","NET"
"1","News",3.204082,0,1,1.39134524929445
"2","Blog",3.204082,0,1,1.22773722627737
"3","Policy",3.204082,0,1,1.70436507936508
"4","Patents",3.204082,0,1,3.20408163265306
"5","Twitter",3.204082,0,1,1.07527766351296
"6","Facebook",3.204082,0,1,1.30232558139535
"7","Citations",3.204082,0,1,1.44078542410439
