"","net","year","count","net1"
"122","OF",2009,7,"Ocean Fertilization (OF)"
"123","OF",2010,9,"Ocean Fertilization (OF)"
"124","OF",2011,7,"Ocean Fertilization (OF)"
"125","OF",2012,8,"Ocean Fertilization (OF)"
"126","OF",2013,5,"Ocean Fertilization (OF)"
"127","OF",2014,6,"Ocean Fertilization (OF)"
"128","OF",2015,3,"Ocean Fertilization (OF)"
"129","OF",2016,6,"Ocean Fertilization (OF)"
"130","OF",2017,3,"Ocean Fertilization (OF)"
"131","SCS",1998,1,"Soil Carbon Sequestration (SCS)"
"132","SCS",1999,4,"Soil Carbon Sequestration (SCS)"
"133","SCS",2000,2,"Soil Carbon Sequestration (SCS)"
"134","SCS",2001,1,"Soil Carbon Sequestration (SCS)"
"135","SCS",2002,8,"Soil Carbon Sequestration (SCS)"
"136","SCS",2003,7,"Soil Carbon Sequestration (SCS)"
"137","SCS",2004,12,"Soil Carbon Sequestration (SCS)"
"138","SCS",2005,9,"Soil Carbon Sequestration (SCS)"
"139","SCS",2006,14,"Soil Carbon Sequestration (SCS)"
"140","SCS",2007,9,"Soil Carbon Sequestration (SCS)"
"141","SCS",2008,14,"Soil Carbon Sequestration (SCS)"
"142","SCS",2009,13,"Soil Carbon Sequestration (SCS)"
"143","SCS",2010,22,"Soil Carbon Sequestration (SCS)"
"144","SCS",2011,25,"Soil Carbon Sequestration (SCS)"
"145","SCS",2012,33,"Soil Carbon Sequestration (SCS)"
"146","SCS",2013,37,"Soil Carbon Sequestration (SCS)"
"147","SCS",2014,39,"Soil Carbon Sequestration (SCS)"
"148","SCS",2015,45,"Soil Carbon Sequestration (SCS)"
"149","SCS",2016,53,"Soil Carbon Sequestration (SCS)"
"150","SCS",2017,62,"Soil Carbon Sequestration (SCS)"
