"","ID","term","m_estimate","m_low","m_high"
"1","1","Conventional",1.40033333333333,1.23433333333333,1.58766666666667
"2","1","Novel",1.38766666666667,1.27466666666667,1.509
"3","2","Conventional",0.261,0.0586666666666667,1.15666666666667
"4","2","Novel",1.65366666666667,1.06933333333333,2.55833333333333
"5","3","Conventional",4.041,2.88,5.667
"6","3","Novel",2.19666666666667,1.71933333333333,2.80666666666667
"7","4","Conventional",1.63466666666667,1.16366666666667,2.295
"8","4","Novel",1.45066666666667,1.15866666666667,1.815
