"","ID","model","term","estimate","conf.low","conf.high","statistic","p.value"
"92","2","16","Novel",1.48,0.96,2.28,1.76,0.08
"93","2","17","Conventional",0.25,0.06,1.09,-1.85,0.06
"94","2","17","Novel",1.6,1.04,2.47,2.12,0.03
"95","2","18","Conventional",0.2,0.04,0.9,-2.1,0.04
"96","2","18","Novel",1.6,1.03,2.49,2.08,0.04
"97","2","19","Conventional",0.24,0.05,1.06,-1.88,0.06
"98","2","19","Novel",1.38,0.9,2.12,1.48,0.14
"99","2","20","Conventional",0.25,0.06,1.09,-1.85,0.06
"100","2","20","Novel",1.46,0.95,2.25,1.74,0.08
"101","2","21","Conventional",0.24,0.05,1.09,-1.85,0.06
"102","2","21","Novel",1.59,1.03,2.45,2.1,0.04
"103","2","22","Conventional",0.27,0.06,1.18,-1.75,0.08
"104","2","22","Novel",1.53,1,2.35,1.97,0.05
"105","2","23","Conventional",0.27,0.06,1.19,-1.73,0.08
"106","2","23","Novel",1.85,1.2,2.87,2.77,0.01
"107","2","24","Conventional",0.28,0.06,1.22,-1.7,0.09
"108","2","24","Novel",1.69,1.08,2.63,2.32,0.02
"109","2","25","Conventional",0.24,0.05,1.06,-1.88,0.06
"110","2","25","Novel",1.44,0.94,2.22,1.67,0.1
"111","2","26","Conventional",0.21,0.05,0.93,-2.05,0.04
"112","2","26","Novel",1.24,0.82,1.89,1.01,0.31
"113","2","27","Conventional",0.23,0.05,1.01,-1.95,0.05
"114","2","27","Novel",1.57,1.03,2.4,2.08,0.04
"115","2","28","Conventional",0.31,0.07,1.37,-1.55,0.12
"116","2","28","Novel",2,1.27,3.17,2.98,0
"117","2","29","Conventional",0.37,0.08,1.66,-1.29,0.2
"118","2","29","Novel",2.19,1.38,3.47,3.31,0
"119","2","30","Conventional",0.26,0.06,1.14,-1.78,0.07
"120","2","30","Novel",1.66,1.07,2.57,2.27,0.02
"121","3","1","Conventional",4.34,3.08,6.1,8.41,0
"122","3","1","Novel",2.31,1.81,2.96,6.67,0
"123","3","2","Conventional",4.19,2.99,5.87,8.35,0
"124","3","2","Novel",2.34,1.83,2.99,6.77,0
"125","3","3","Conventional",3.98,2.84,5.59,8.02,0
"126","3","3","Novel",2.08,1.63,2.65,5.93,0
"127","3","4","Conventional",3.86,2.75,5.42,7.81,0
"128","3","4","Novel",2.12,1.66,2.7,6.04,0
"129","3","5","Conventional",4.09,2.93,5.7,8.28,0
"130","3","5","Novel",2.33,1.83,2.98,6.82,0
"131","3","6","Conventional",4.16,2.96,5.84,8.24,0
"132","3","6","Novel",2.24,1.75,2.87,6.43,0
"133","3","7","Conventional",4.74,3.35,6.72,8.75,0
"134","3","7","Novel",2.46,1.91,3.18,6.96,0
"135","3","8","Conventional",3.62,2.58,5.06,7.48,0
"136","3","8","Novel",2,1.57,2.55,5.58,0
"137","3","9","Conventional",3.16,2.28,4.39,6.88,0
"138","3","9","Novel",1.83,1.44,2.32,5.01,0
"139","3","10","Conventional",3.98,2.84,5.59,8.01,0
"140","3","10","Novel",2.09,1.64,2.66,5.92,0
"141","3","11","Conventional",4.45,3.17,6.23,8.66,0
"142","3","11","Novel",2.42,1.89,3.09,7,0
"143","3","12","Conventional",4.3,3.06,6.04,8.41,0
"144","3","12","Novel",2.4,1.87,3.07,6.96,0
"145","3","13","Conventional",4.58,3.25,6.46,8.66,0
"146","3","13","Novel",2.45,1.91,3.15,6.99,0
"147","3","14","Conventional",3.91,2.78,5.49,7.85,0
"148","3","14","Novel",2.22,1.74,2.84,6.33,0
"149","3","15","Conventional",3.8,2.71,5.33,7.75,0
"150","3","15","Novel",2.01,1.58,2.56,5.66,0
"151","3","16","Conventional",3.09,2.22,4.29,6.73,0
"152","3","16","Novel",1.77,1.39,2.24,4.69,0
"153","3","17","Conventional",4.12,2.93,5.79,8.17,0
"154","3","17","Novel",2.19,1.71,2.81,6.24,0
"155","3","18","Conventional",3.91,2.79,5.48,7.9,0
"156","3","18","Novel",2.16,1.69,2.76,6.19,0
"157","3","19","Conventional",3.87,2.76,5.41,7.86,0
"158","3","19","Novel",2.07,1.62,2.64,5.86,0
"159","3","20","Conventional",3.87,2.76,5.42,7.88,0
"160","3","20","Novel",2.1,1.64,2.68,5.95,0
"161","3","21","Conventional",4.51,3.2,6.34,8.64,0
"162","3","21","Novel",2.49,1.95,3.2,7.23,0
"163","3","22","Conventional",3.89,2.78,5.45,7.91,0
"164","3","22","Novel",2.12,1.66,2.71,6.06,0
"165","3","23","Conventional",4.58,3.25,6.45,8.7,0
"166","3","23","Novel",2.45,1.91,3.13,7.09,0
"167","3","24","Conventional",3.79,2.72,5.28,7.85,0
"168","3","24","Novel",2.08,1.63,2.64,5.93,0
"169","3","25","Conventional",4.2,2.99,5.91,8.24,0
"170","3","25","Novel",2.18,1.71,2.79,6.21,0
"171","3","26","Conventional",3.77,2.69,5.27,7.74,0
"172","3","26","Novel",1.95,1.53,2.49,5.37,0
"173","3","27","Conventional",4.41,3.14,6.19,8.58,0
"174","3","27","Novel",2.4,1.88,3.07,6.97,0
"175","3","28","Conventional",3.87,2.76,5.41,7.9,0
"176","3","28","Novel",2.06,1.62,2.62,5.86,0
"177","3","29","Conventional",4.17,2.97,5.86,8.22,0
"178","3","29","Novel",2.38,1.86,3.04,6.87,0
"179","3","30","Conventional",4.02,2.87,5.63,8.1,0
"180","3","30","Novel",2.2,1.72,2.81,6.32,0
"181","4","1","Conventional",1.66,1.18,2.33,2.91,0
"182","4","1","Novel",1.5,1.2,1.88,3.55,0
"183","4","2","Conventional",1.69,1.2,2.38,3.01,0
"184","4","2","Novel",1.48,1.18,1.86,3.43,0
"185","4","3","Conventional",1.57,1.12,2.21,2.61,0.01
"186","4","3","Novel",1.32,1.06,1.65,2.43,0.02
"187","4","4","Conventional",1.71,1.21,2.4,3.05,0
"188","4","4","Novel",1.41,1.12,1.76,2.98,0
"189","4","5","Conventional",1.6,1.14,2.23,2.73,0.01
"190","4","5","Novel",1.42,1.13,1.77,3.08,0
"191","4","6","Conventional",1.85,1.32,2.61,3.56,0
"192","4","6","Novel",1.6,1.27,2,4.07,0
"193","4","7","Conventional",1.73,1.23,2.45,3.11,0
"194","4","7","Novel",1.52,1.21,1.91,3.57,0
"195","4","8","Conventional",1.49,1.06,2.08,2.32,0.02
"196","4","8","Novel",1.32,1.06,1.65,2.46,0.01
"197","4","9","Conventional",1.53,1.09,2.14,2.47,0.01
"198","4","9","Novel",1.35,1.08,1.69,2.66,0.01
"199","4","10","Conventional",1.72,1.22,2.42,3.11,0
"200","4","10","Novel",1.44,1.15,1.8,3.16,0
"201","4","11","Conventional",1.64,1.17,2.31,2.84,0
"202","4","11","Novel",1.44,1.15,1.81,3.19,0
"203","4","12","Conventional",1.59,1.13,2.23,2.65,0.01
"204","4","12","Novel",1.48,1.18,1.85,3.39,0
"205","4","13","Conventional",1.49,1.06,2.08,2.32,0.02
"206","4","13","Novel",1.34,1.08,1.68,2.62,0.01
"207","4","14","Conventional",1.57,1.11,2.21,2.58,0.01
"208","4","14","Novel",1.34,1.07,1.68,2.57,0.01
"209","4","15","Conventional",1.45,1.03,2.04,2.16,0.03
"210","4","15","Novel",1.39,1.11,1.74,2.88,0
"211","4","16","Conventional",1.61,1.15,2.26,2.78,0.01
"212","4","16","Novel",1.38,1.11,1.73,2.84,0
"213","4","17","Conventional",1.61,1.15,2.26,2.76,0.01
"214","4","17","Novel",1.51,1.21,1.89,3.61,0
"215","4","18","Conventional",1.54,1.1,2.16,2.51,0.01
"216","4","18","Novel",1.47,1.18,1.84,3.41,0
"217","4","19","Conventional",1.78,1.26,2.5,3.3,0
"218","4","19","Novel",1.52,1.21,1.9,3.65,0
"219","4","20","Conventional",1.74,1.24,2.44,3.21,0
"220","4","20","Novel",1.57,1.25,1.96,3.94,0
"221","4","21","Conventional",1.73,1.23,2.43,3.15,0
"222","4","21","Novel",1.52,1.21,1.9,3.67,0
"223","4","22","Conventional",1.65,1.18,2.31,2.9,0
"224","4","22","Novel",1.44,1.16,1.8,3.25,0
"225","4","23","Conventional",1.58,1.13,2.22,2.64,0.01
"226","4","23","Novel",1.39,1.11,1.74,2.91,0
"227","4","24","Conventional",1.75,1.25,2.45,3.26,0
"228","4","24","Novel",1.55,1.24,1.93,3.82,0
"229","4","25","Conventional",1.62,1.15,2.28,2.74,0.01
"230","4","25","Novel",1.44,1.14,1.8,3.13,0
"231","4","26","Conventional",1.55,1.1,2.18,2.54,0.01
"232","4","26","Novel",1.46,1.16,1.83,3.27,0
"233","4","27","Conventional",1.64,1.17,2.29,2.86,0
"234","4","27","Novel",1.51,1.21,1.89,3.65,0
"235","4","28","Conventional",1.61,1.15,2.25,2.78,0.01
"236","4","28","Novel",1.5,1.2,1.88,3.57,0
"237","4","29","Conventional",1.76,1.25,2.49,3.22,0
"238","4","29","Novel",1.52,1.21,1.9,3.58,0
"239","4","30","Conventional",1.58,1.13,2.21,2.66,0.01
"240","4","30","Novel",1.39,1.11,1.73,2.88,0
