rowname,News,Blog,Policy,Patents,Twitter,Facebook,Citations
Max,4.640387,4.640387,4.640387,4.640387,4.640387,4.640387,4.640387
Min,0,0,0,0,0.119403,0,0
Control,1,1,1,1,1,1,1
Conventional,3.787819253438114,3.312101910828025,4.50261780104712,0.14723926380368096,3.669674596663932,2.107883817427386,1.6807427810510571
Novel,1.7629338572364115,1.4904458598726116,1.975567190226876,2.1431492842535786,1.3745328593564852,1.7040110650069156,1.7088098842900836
