"","ID","model","term","estimate","conf.low","conf.high","statistic","p.value"
"95","1","11","DAC",1.56,1.31,1.85,5.03,0
"96","1","11","EW",1.3,0.99,1.69,1.91,0.06
"97","1","11","General",1.38,1.26,1.52,6.7,0
"98","1","11","OF",0.73,0.55,0.95,-2.32,0.02
"99","1","11","SCS",1.29,1.12,1.47,3.65,0
"100","1","12","AR",1.04,0.93,1.17,0.66,0.51
"101","1","12","BC",2.1,1.69,2.59,6.82,0
"102","1","12","BECCS",1.16,0.96,1.4,1.51,0.13
"103","1","12","Biochar",2.11,1.87,2.38,12.06,0
"104","1","12","DAC",1.55,1.31,1.84,5.04,0
"105","1","12","EW",1.29,0.99,1.69,1.89,0.06
"106","1","12","General",1.35,1.23,1.48,6.22,0
"107","1","12","OF",0.75,0.57,0.98,-2.09,0.04
"108","1","12","SCS",1.24,1.09,1.42,3.19,0
"109","1","13","AR",1,0.89,1.12,0,1
"110","1","13","BC",2.08,1.69,2.57,6.81,0
"111","1","13","BECCS",1.12,0.92,1.35,1.16,0.25
"112","1","13","Biochar",2.14,1.89,2.41,12.35,0
"113","1","13","DAC",1.42,1.2,1.69,4.06,0
"114","1","13","EW",1.25,0.96,1.62,1.64,0.1
"115","1","13","General",1.35,1.23,1.48,6.23,0
"116","1","13","OF",0.68,0.53,0.89,-2.83,0
"117","1","13","SCS",1.24,1.09,1.42,3.2,0
"118","1","14","AR",0.98,0.87,1.1,-0.34,0.73
"119","1","14","BC",2,1.61,2.47,6.33,0
"120","1","14","BECCS",1.12,0.92,1.35,1.11,0.27
"121","1","14","Biochar",2.04,1.8,2.3,11.42,0
"122","1","14","DAC",1.42,1.2,1.69,4.01,0
"123","1","14","EW",1.23,0.95,1.61,1.56,0.12
"124","1","14","General",1.28,1.16,1.41,5.08,0
"125","1","14","OF",0.64,0.49,0.83,-3.33,0
"126","1","14","SCS",1.2,1.05,1.37,2.61,0.01
"127","1","15","AR",1.06,0.94,1.19,0.97,0.33
"128","1","15","BC",2.13,1.72,2.63,6.93,0
"129","1","15","BECCS",1.18,0.98,1.43,1.72,0.09
"130","1","15","Biochar",2.16,1.92,2.44,12.54,0
"131","1","15","DAC",1.48,1.25,1.75,4.47,0
"132","1","15","EW",1.32,1.01,1.72,2.03,0.04
"133","1","15","General",1.4,1.27,1.54,6.97,0
"134","1","15","OF",0.67,0.51,0.88,-2.88,0
"135","1","15","SCS",1.28,1.12,1.46,3.62,0
"136","1","16","AR",1.04,0.93,1.17,0.73,0.47
"137","1","16","BC",2.12,1.71,2.62,6.88,0
"138","1","16","BECCS",1.22,1.01,1.48,2.06,0.04
"139","1","16","Biochar",2.14,1.89,2.41,12.19,0
"140","1","16","DAC",1.48,1.25,1.76,4.5,0
"141","1","16","EW",1.28,0.98,1.68,1.83,0.07
"142","1","16","General",1.4,1.27,1.54,6.94,0
"143","1","16","OF",0.75,0.57,0.98,-2.13,0.03
"144","1","16","SCS",1.3,1.14,1.49,3.82,0
"145","1","17","AR",0.97,0.86,1.09,-0.56,0.58
"146","1","17","BC",1.96,1.58,2.43,6.16,0
"147","1","17","BECCS",1.15,0.95,1.39,1.39,0.16
"148","1","17","Biochar",2.04,1.8,2.3,11.42,0
"149","1","17","DAC",1.49,1.25,1.78,4.49,0
"150","1","17","EW",1.27,0.97,1.66,1.77,0.08
"151","1","17","General",1.29,1.17,1.42,5.22,0
"152","1","17","OF",0.65,0.5,0.85,-3.11,0
"153","1","17","SCS",1.18,1.03,1.35,2.4,0.02
"154","1","18","AR",1.05,0.94,1.18,0.88,0.38
"155","1","18","BC",2.19,1.77,2.71,7.24,0
"156","1","18","BECCS",1.21,1,1.47,1.98,0.05
"157","1","18","Biochar",2.17,1.92,2.44,12.56,0
"158","1","18","DAC",1.56,1.31,1.85,5.07,0
"159","1","18","EW",1.28,0.98,1.66,1.83,0.07
"160","1","18","General",1.38,1.25,1.51,6.71,0
"161","1","18","OF",0.65,0.5,0.85,-3.18,0
"162","1","18","SCS",1.28,1.12,1.46,3.58,0
"163","1","19","AR",1.04,0.93,1.17,0.72,0.47
"164","1","19","BC",1.97,1.59,2.44,6.17,0
"165","1","19","BECCS",1.18,0.97,1.43,1.68,0.09
"166","1","19","Biochar",2.19,1.94,2.47,12.51,0
"167","1","19","DAC",1.48,1.24,1.76,4.38,0
"168","1","19","EW",1.28,0.98,1.67,1.8,0.07
"169","1","19","General",1.4,1.28,1.55,6.98,0
"170","1","19","OF",0.64,0.49,0.84,-3.2,0
"171","1","19","SCS",1.29,1.13,1.48,3.7,0
"172","1","20","AR",1.03,0.92,1.16,0.55,0.59
"173","1","20","BC",2.08,1.68,2.58,6.75,0
"174","1","20","BECCS",1.22,1.01,1.48,2.03,0.04
"175","1","20","Biochar",2.18,1.93,2.46,12.56,0
"176","1","20","DAC",1.53,1.28,1.81,4.79,0
"177","1","20","EW",1.23,0.94,1.6,1.53,0.13
"178","1","20","General",1.38,1.25,1.51,6.61,0
"179","1","20","OF",0.62,0.47,0.82,-3.44,0
"180","1","20","SCS",1.28,1.12,1.46,3.56,0
"181","1","21","AR",0.96,0.86,1.08,-0.6,0.55
"182","1","21","BC",1.96,1.58,2.43,6.08,0
"183","1","21","BECCS",1.15,0.94,1.39,1.38,0.17
"184","1","21","Biochar",2.07,1.83,2.34,11.64,0
"185","1","21","DAC",1.42,1.2,1.7,3.98,0
"186","1","21","EW",1.26,0.97,1.65,1.72,0.09
"187","1","21","General",1.29,1.18,1.42,5.29,0
"188","1","21","OF",0.7,0.53,0.92,-2.57,0.01
"189","1","21","SCS",1.2,1.04,1.37,2.58,0.01
"190","1","22","AR",1.04,0.93,1.17,0.7,0.48
"191","1","22","BC",2.13,1.73,2.64,7,0
